"ID_NUMBER","ACTIVITY_LOCATION","EVALUATION_IDENTIFIER","EVALUATION_TYPE","EVALUATION_DESC","EVALUATION_AGENCY","EVALUATION_START_DATE","FOUND_VIOLATION"
"MND006154595","MN","003","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","11/30/1989","Y  "
"MND006154595","MN","005","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/08/1989","Y  "
"MND006154595","MN","006","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/08/1989","Y  "
"MND006154595","MN","007","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","06/08/1989","Y  "
"MND006154595","MN","008","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","10/18/1989","N  "
"MND006154918","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","11/06/1985","N  "
"MND006154918","MN","002","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/20/1987","N  "
"MND006154918","MN","003","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/09/1988","N  "
"MND006154918","MN","004","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","09/27/1989","Y  "
"MND006154918","MN","005","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","09/27/1989","N  "
"MND000819268","MN","011","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","09/17/1987","N  "
"MND000819268","MN","011","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","09/26/1990","N  "
"MND000819268","MN","012","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","12/16/1987","N  "
"MND000819268","MN","013","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","09/14/1988","Y  "
"MND000819268","MN","014","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","04/05/1989","N  "
"MND000819268","MN","015","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","03/08/1989","N  "
"MND000819268","MN","016","FRR","FINANCIAL RECORD REVIEW","S  ","06/01/1989","N  "
"MND000819268","MN","017","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/10/1989","N  "
"MND000819268","MN","018","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","02/14/1990","N  "
"MND000819268","MN","019","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/24/1990","Y  "
"MND000819268","MN","020","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","01/24/1990","N  "
"MND000819268","MN","021","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","04/23/1990","Y  "
"MND000819268","MN","022","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","06/16/1990","N  "
"MND000819268","MN","023","FRR","FINANCIAL RECORD REVIEW","S  ","06/08/1990","N  "
"MND000819268","MN","024","FRR","FINANCIAL RECORD REVIEW","S  ","06/28/1991","N  "
"MND000819268","MN","025","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","02/04/1992","N  "
"MND000819268","MN","026","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/04/1992","N  "
"MND000819268","MN","027","FRR","FINANCIAL RECORD REVIEW","S  ","09/21/1992","N  "
"MND000819268","MN","028","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/23/1993","Y  "
"MND000819268","MN","029","FRR","FINANCIAL RECORD REVIEW","S  ","07/13/1993","N  "
"MND000819268","MN","030","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","11/22/1993","Y  "
"MND000819268","MN","031","FRR","FINANCIAL RECORD REVIEW","S  ","07/13/1994","N  "
"MND000819268","MN","032","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/16/1995","N  "
"MND000773341","MN","010","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","08/11/1994","Y  "
"MND000773341","MN","011","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","06/20/1990","N  "
"MND000773341","MN","011","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","08/10/1995","Y  "
"MND000773341","MN","012","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","08/17/1990","N  "
"MND000773341","MN","012","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","06/06/1996","N  "
"MND000773341","MN","013","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/26/1991","N  "
"MND000773341","MN","013","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","07/22/1997","N  "
"MND000773341","MN","014","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/19/1992","Y  "
"MND000773341","MN","014","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","07/28/1998","N  "
"MND006150429","MN","002","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/19/1986","N  "
"MND006150528","MN","001","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","07/30/1984","N  "
"MND006150528","MN","002","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","08/29/1984","N  "
"MND000773341","MN","016","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/11/1994","N  "
"MND000773341","MN","017","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/10/1995","N  "
"MND000773341","MN","018","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/06/1996","N  "
"MND000773341","MN","019","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/22/1997","N  "
"MND000773341","MN","020","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/28/1998","N  "
"MND000773341","MN","021","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/10/1999","N  "
"MND000780536","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/12/1981","N  "
"MND000780536","MN","002","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/09/1986","N  "
"MND000780536","MN","003","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/05/1992","N  "
"MND000780536","MN","004","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","10/05/1994","Y  "
"MND000780536","MN","005","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","06/13/1996","Y  "
"MN0000199562","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/16/2002","Y  "
"MN0000201566","MN","001","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","05/27/1994","N  "
"MN0000201566","MN","002","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/25/1999","N  "
"MN0000228585","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","09/23/1993","Y  "
"MN0000228759","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","10/03/1995","Y  "
"MN0000228759","MN","002","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/17/1996","N  "
"MN0000228759","MN","003","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/16/1997","Y  "
"MN0000228759","MN","004","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","10/30/1997","Y  "
"MN0000228759","MN","005","SNY","SIGNIFICANT NON-COMPLIER","S  ","10/30/1997","Y  "
"MN0000228759","MN","006","SNN","NOT A SIGNIFICANT NON-COMPLIER","S  ","04/24/2000","N  "
"MN0000228775","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/10/1995","Y  "
"MN0000232793","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","10/15/2003","Y  "
"MN0000239541","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/29/2005","N  "
"MN0000239814","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/04/2006","N  "
"MN0000242891","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","12/30/2003","N  "
"MN0000243048","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","11/01/2004","Y  "
"MN0000262758","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","10/18/1996","Y  "
"MN0000262923","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/21/2000","Y  "
"MN0000263541","MN","001","CAV","COMPLIANCE ASSISTANCE VISIT","E  ","01/08/2003","N  "
"MN0000263541","MN","002","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","01/08/2003","N  "
"MN0000265801","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/05/1994","Y  "
"MN0000043638","MN","003","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","11/04/2004","Y  "
"MN0000052365","MN","001","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","09/24/1993","Y  "
"MN0000052407","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/15/1997","N  "
"MN0000054361","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/21/2003","Y  "
"MN0000056184","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","10/08/2004","Y  "
"MN0000056226","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/27/1993","Y  "
"MN0000056242","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","11/17/2004","Y  "
"MN0000059923","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/12/2000","N  "
"MN0000059998","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/10/1993","Y  "
"MN0000064964","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/10/1993","Y  "
"MN0000066290","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/11/1994","Y  "
"MND000686709","MN","038","FRR","FINANCIAL RECORD REVIEW","S  ","06/09/1998","N  "
"MN0000078162","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/23/1998","Y  "
"MN0000078261","MN","001","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","05/30/1995","Y  "
"MN0000080804","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","09/12/1996","Y  "
"MN0000088757","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","11/04/1998","Y  "
"MN0000089359","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/24/1999","Y  "
"MN0000110981","MN","001","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","04/12/1994","Y  "
"MN0000114223","MN","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","12/08/1993","N  "
"MIR000039552","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","08/10/2005","Y  "
"MIR000039560","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","11/01/2000","N  "
"MIR000039560","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/19/2005","N  "
"MIR000039636","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/02/2005","Y  "
"MIR000039651","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/31/2003","Y  "
"MIR000039701","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/10/2000","N  "
"MIR000039701","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/19/2003","Y  "
"MIR000039727","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/03/2003","Y  "
"MIR000039834","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","11/18/1999","Y  "
"MIR000039842","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/12/2000","Y  "
"MIR000039842","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/17/2003","N  "
"MIR000039867","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/06/2000","N  "
"MIR000039974","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/05/2001","Y  "
"MIR000040113","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/20/1999","N  "
"MIR000040139","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/26/1999","Y  "
"MIR000040139","MI","002","FUI","FOLLOW-UP INSPECTION","S  ","11/24/1999","Y  "
"MIR000040188","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/08/2002","Y  "
"MIR000040204","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/15/2000","N  "
"MIR000040204","MI","001","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","12/06/2001","N  "
"MIR000040212","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/30/1999","N  "
"MIR000040329","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/31/1999","N  "
"MIR000037168","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/12/1999","N  "
"MIR000037168","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/12/2001","N  "
"MIR000037218","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/29/2000","Y  "
"MIR000037242","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/06/2000","Y  "
"MIR000037242","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/26/2004","Y  "
"MIR000037242","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/28/2005","Y  "
"MIR000037242","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/13/2005","Y  "
"MIR000037325","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/22/1999","Y  "
"MIT270019698","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/26/2003","N  "
"MIT270019698","MI","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/02/2005","Y  "
"MIT270019698","MI","002","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/30/1986","N  "
"MIT270019698","MI","003","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/21/1987","N  "
"MIT270019698","MI","004","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/31/1989","Y  "
"MIT270019698","MI","005","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","02/23/1989","N  "
"MIT270019698","MI","006","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/11/1994","N  "
"MIT270019698","MI","007","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/22/1997","N  "
"MIT270019698","MI","008","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/18/2000","N  "
"MO0000480145","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/03/2001","N  "
"MO0000481747","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/03/1994","Y  "
"MO0000481770","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/16/1994","Y  "
"MO0000481796","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/28/1994","N  "
"MO0000481820","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/15/1994","N  "
"MO0000484766","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","11/02/2000","Y  "
"MO0000484816","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/26/2002","Y  "
"MO0000485755","MO","001","CAV","COMPLIANCE ASSISTANCE VISIT","S  ","05/03/2006","N  "
"MO0000486431","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/17/1994","Y  "
"MO0000486431","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","12/15/1999","Y  "
"MO0000486431","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","E  ","02/06/2001","Y  "
"MO0000486456","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/29/1994","Y  "
"MO0000486456","MO","000","CSE","COMPLIANCE SCHEDULE EVALUATION","S  ","11/17/1994","Y  "
"MO0000486456","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/24/1998","Y  "
"MO0000487389","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/21/1994","Y  "
"MO0000487405","MO","001","CAV","COMPLIANCE ASSISTANCE VISIT","S  ","04/17/2006","N  "
"MO0000563171","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/14/2004","N  "
"MO0000563445","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/25/2004","Y  "
"MO0000563593","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/23/1998","Y  "
"MO0000119867","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/22/1995","Y  "
"MO0000120725","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","09/23/1994","Y  "
"MO0000139188","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/24/2001","Y  "
"MSD041524869","MS","019","FRR","FINANCIAL RECORD REVIEW","S  ","09/11/1989","N  "
"MSD037486941","MS","002","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/19/1988","Y  "
"MSD037486941","MS","002","SNY","SIGNIFICANT NON-COMPLIER","E  ","11/14/2001","N  "
"MO0000201681","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/02/1995","Y  "
"MO0000201707","MO","001","CAV","COMPLIANCE ASSISTANCE VISIT","S  ","01/02/2001","Y  "
"MO0000201749","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","09/16/1999","N  "
"MO0000201756","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/24/2003","Y  "
"MO0000241570","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","02/22/2002","Y  "
"MO0000241703","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/26/1999","Y  "
"MO0000241869","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/22/1993","Y  "
"MO0000241869","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/23/1993","Y  "
"MO0000241901","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/22/1993","Y  "
"MO0000261297","MO","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","04/02/1997","Y  "
"MO0000261966","MO","000","FCI","FOCUSED COMPLIANCE INSPECTION","S  ","01/03/1996","N  "
"MO0000262014","MO","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/10/2005","N  "
"MSD038260188","MS","001","SNN","NOT A SIGNIFICANT NON-COMPLIER","S  ","01/18/2000","N  "
"MSD038260188","MS","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","05/16/2001","N  "
"MSD039406277","MS","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","07/09/1999","N  "
"MSD039406277","MS","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","08/29/2002","N  "
"MSD041128877","MS","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/16/1994","Y  "
"MSD041128877","MS","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","06/05/2001","N  "
"MSD041165747","MS","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","01/06/1992","N  "
"MSD041165747","MS","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/13/1995","Y  "
"MSD041165747","MS","000","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","03/08/2000","Y  "
"MSD041165747","MS","001","CEI","COMPLIANCE EVALUATION INSPECTION ON-SITE","S  ","12/21/1987","Y  "
"MSD041165747","MS","001","SNY","SIGNIFICANT NON-COMPLIER","S  ","01/11/1999","Y  "
